StdFirst;SqlStdExecTime;SqlXExecTime;NRows;SleepTime
1;64828600;54856000;10000;2
1;48341700;45877300;10000;2
0;50862400;62611500;10000;2
1;78758700;71806300;10000;2
0;46874600;75301600;10000;2
0;44840800;54562600;10000;2
1;505649100;477725400;100000;2
1;492484200;463759100;100000;2
0;474729000;496671900;100000;2
0;473733700;499445300;100000;2
1;482520100;493679100;100000;2
0;493679600;479721800;100000;2
1;478716900;616596000;100000;2
0;520607900;995411400;100000;2
0;476726800;474728800;100000;2
0;467748000;498666300;100000;2
0;458771300;505646000;100000;2
1;497089800;467749800;100000;2
0;478719700;515425200;100000;2
1;506596000;475727300;100000;2
1;520601400;469743700;100000;2
0;455780600;523595100;100000;2
0;462764600;494467700;100000;2
0;465753500;500101000;100000;2
0;467749500;525389900;100000;2
1;523037200;477720500;100000;2
0;475729700;528388100;100000;2
0;478720000;522413900;100000;2
1;522594900;474729600;100000;2
0;466751600;521566200;100000;2
1;527584200;475726400;100000;2
0;466751400;510414200;100000;2
1;505433600;482708900;100000;2
1;510642300;483706200;100000;2
1;507635700;476725400;100000;2
0;466751800;524472300;100000;2
1;504620400;578451500;100000;2
1;500395600;483704400;100000;2
1;512054400;493678200;100000;2
1;512377800;490686800;100000;2
1;650259200;493679600;100000;2
0;473731900;520593500;100000;2
1;511414400;467750300;100000;2
0;517617300;632303400;100000;2
1;453783600;501658600;100000;2
1;484702300;480715800;100000;2
1;491650800;472735900;100000;2
1;514056000;465756400;100000;2
0;470742100;523388300;100000;2
0;445809100;523495700;100000;2
1;512635400;463759700;100000;2
0;460767700;506466700;100000;2
1;532371200;479718400;100000;2
1;511065800;477722500;100000;2
1;515422900;473731400;100000;2
1;516567900;482710900;100000;2
0;465755900;515418900;100000;2
1;486491500;479718800;100000;2
1;500651600;475728100;100000;2
0;464758800;518398600;100000;2
0;466751000;512416800;100000;2
1;518441600;471737600;100000;2
1;539259300;501658700;100000;2
0;479715300;522602400;100000;2
1;503528100;489689600;100000;2
0;465754800;526419600;100000;2
1;514627200;461764700;100000;2
0;496672900;588421100;100000;2
1;540325800;511630200;100000;2
1;514619600;483704200;100000;2
0;475727700;514454200;100000;2
1;514622400;480714400;100000;2
0;474729500;517425100;100000;2
0;469743200;529090200;100000;2
0;454782800;521603100;100000;2
1;522430300;466752700;100000;2
1;529574300;482711200;100000;2
0;485702500;528583500;100000;2
1;507155000;476725000;100000;2
0;475729500;533579500;100000;2
1;513618800;484703400;100000;2
1;516407900;470740900;100000;2
0;496673800;505385600;100000;2
0;474729100;525113600;100000;2
0;469744700;529283400;100000;2
1;514417400;466750000;100000;2
0;468745900;517556300;100000;2
0;466751900;517436800;100000;2
1;526022100;474731300;100000;2
0;470741100;520604700;100000;2
0;468747200;520365400;100000;2
1;550323800;474729900;100000;2
1;508627100;463757500;100000;2
1;512626500;471740000;100000;2
0;471737200;515398400;100000;2
0;678184800;728052700;100000;2
0;501658400;669178200;100000;2
1;494190100;513626300;100000;2
0;511629300;490486400;100000;2
1;506642100;502655600;100000;2
1;485701900;498666300;100000;2
0;5181507300;5303813200;1000000;2
0;4918845000;5209870700;1000000;2
0;5252951900;4925606400;1000000;2
0;4939788800;4858738400;1000000;2
1;4782999500;5097367400;1000000;2
1;4843980500;5011595100;1000000;2
0;4990654000;4869803600;1000000;2
1;4770232700;5056476600;1000000;2
0;5042513800;4785645500;1000000;2
1;4810851700;5123296500;1000000;2
0;5099362200;4892768800;1000000;2
1;4772900000;5223031700;1000000;2
1;4744074700;5189122000;1000000;2
1;4825740900;5330741300;1000000;2
1;4804099200;5221038400;1000000;2
0;5238406200;4884743200;1000000;2
1;4744261200;5346710000;1000000;2
1;4803151600;5661858100;1000000;2
0;5385595700;4932798400;1000000;2
1;4829853800;5520235300;1000000;2
1;4831800000;5576088700;1000000;2
0;5485331900;5085390000;1000000;2
0;5655874300;5034202000;1000000;2
1;5285653800;5770563800;1000000;2
1;4888362300;5641909600;1000000;2
0;5470370300;5075869100;1000000;2
0;5548153000;5159023700;1000000;2
1;5177929800;5726686500;1000000;2
0;5668838600;5215051600;1000000;2
0;5634930400;5185808600;1000000;2
0;5969034300;5255729900;1000000;2
1;5257719500;5912187200;1000000;2
1;5093079900;5951084700;1000000;2
1;5177851100;5950089800;1000000;2
1;5143552200;5903210400;1000000;2
1;5206790200;5987986100;1000000;2
0;5868846400;5394534700;1000000;2
1;5238936800;6105670500;1000000;2
0;5998954500;5505288900;1000000;2
1;5356471200;6174486500;1000000;2
1;5309602900;6136587200;1000000;2
1;5349431600;6227345300;1000000;2
1;5521241500;6288183400;1000000;2
0;6223353500;5689791400;1000000;2
0;6160523800;5881964900;1000000;2
0;6360989800;5818231100;1000000;2
1;5596749200;6539513400;1000000;2
0;6422822900;5933564700;1000000;2
0;6370994000;6037636800;1000000;2
0;6366972200;6029874000;1000000;2
0;6607328000;6082730400;1000000;2
1;5875280800;7119960800;1000000;2
0;6715041300;6638060700;1000000;2
0;6841702500;6357724900;1000000;2
0;6819759900;6477454400;1000000;2
1;6215811900;7129932200;1000000;2
0;7012243500;6591380600;1000000;2
1;6377457900;7238641700;1000000;2
1;6465437400;7569754100;1000000;2
0;7188771300;6918137700;1000000;2
0;7365304600;7031715800;1000000;2
1;6700765700;7603667000;1000000;2
0;7688435600;7379026800;1000000;2
1;6938412700;8743613500;1000000;2
1;7162845500;8195081000;1000000;2
0;7806125600;7444037200;1000000;2
0;7918821900;7611324100;1000000;2
0;7519888500;7094709100;1000000;2
1;6839705200;7663504400;1000000;2
0;7389237400;7161597900;1000000;2
1;6809503300;7703397800;1000000;2
0;7475007700;7220688000;1000000;2
0;7487974000;7081832900;1000000;2
1;7568195200;8972005100;1000000;2
1;7184492000;8222009600;1000000;2
1;7177309700;8261903400;1000000;2
0;7926796800;7583433300;1000000;2
1;7169602000;8212037100;1000000;2
0;7764233300;7560557200;1000000;2
0;7928797300;7625567800;1000000;2
0;7876936300;7623418500;1000000;2
0;7803133000;7609448600;1000000;2
0;8283845600;7576700600;1000000;2
1;7270550600;8365629700;1000000;2
0;8127276900;7718133300;1000000;2
1;7182552600;8297806400;1000000;2
1;7115960900;8186108000;1000000;2
1;7192766300;8667818600;1000000;2
0;8334954000;7995138400;1000000;2
1;7694924500;8167154400;1000000;2
1;7209500300;8304788500;1000000;2
0;7893885800;7638572300;1000000;2
0;7894886700;7656475500;1000000;2
0;7818087800;7560435300;1000000;2
1;7305227700;8102315500;1000000;2
1;54531160100;56272500500;10000000;2
0;56827179900;59785944500;10000000;2
0;59649468900;59253416100;10000000;2
0;66794362700;62264319500;10000000;2
0;70263596400;73697956400;10000000;2
1;75560765800;89718054400;10000000;2
1;76379542300;82016647700;10000000;2
0;78611796100;77649341800;10000000;2
0;75586849000;78945671700;10000000;2
0;79282959500;77258333500;10000000;2
0;76311906600;78653476700;10000000;2
0;78651647800;78155984700;10000000;2
0;75606792700;79063276800;10000000;2
1;75883904700;82465451000;10000000;2
0;75264707400;78032134100;10000000;2
0;79151309900;77584969600;10000000;2
0;76122421300;78575675200;10000000;2
1;78010218600;82704810700;10000000;2
1;76501154500;79050582100;10000000;2
0;79976117800;80171582500;10000000;2
0;75603799900;77240429200;10000000;2
1;75483977500;81557876700;10000000;2
0;75559362100;78996736600;10000000;2
1;75796131500;83298799600;10000000;2
1;76008530200;79758691900;10000000;2
1;76157321100;80920582100;10000000;2
0;75128143600;77296132600;10000000;2
0;78768609800;81928753300;10000000;2
1;76473468500;86016006300;10000000;2
1;78575442000;79149320600;10000000;2
0;76419618800;78935606800;10000000;2
1;77887508900;79978099200;10000000;2
0;75778087700;80703170400;10000000;2
1;78091006600;78896990600;10000000;2
0;77172607200;80594131600;10000000;2
0;76499433200;82823316000;10000000;2
1;75416655600;78796046900;10000000;2
1;80727107200;82411590700;10000000;2
0;75164920600;79197203700;10000000;2
0;75877071700;79982044600;10000000;2
1;74082185700;79398650300;10000000;2
0;77529649900;82652019800;10000000;2
0;75108158400;78328318300;10000000;2
1;76052602400;78675585500;10000000;2
0;79934216800;78885887800;10000000;2
1;75078979200;79046594400;10000000;2
0;80882684100;78626221200;10000000;2
1;75278551300;80460811400;10000000;2
0;78518521200;78752225500;10000000;2
1;76248885900;78614747200;10000000;2
0;79906297000;78432235300;10000000;2
0;75863734000;83391977100;10000000;2
1;75818025800;83007000100;10000000;2
0;76914296100;80678077300;10000000;2
0;77361101000;78076130300;10000000;2
1;74609273200;78881731400;10000000;2
1;75427271100;99879914000;10000000;2
1;77430962900;80407963100;10000000;2
1;79362482200;82611095900;10000000;2
0;75741432300;78420077700;10000000;2
0;76044689400;81670386400;10000000;2
1;74970503900;78505040200;10000000;2
1;78279451300;77931576000;10000000;2
1;74489829400;80175575700;10000000;2
1;78457169900;79333822700;10000000;2
0;75913974500;79631887300;10000000;2
0;77058967400;82168929600;10000000;2
1;76483308000;78509170700;10000000;2
1;77547926900;78333023000;10000000;2
0;76963165100;80481600400;10000000;2
1;77948334300;78017352000;10000000;2
1;73890194200;78230775700;10000000;2
1;78077978400;79335575800;10000000;2
1;75221619300;84034490300;10000000;2
1;78692502700;80635345200;10000000;2
1;74783398000;81798232700;10000000;2
0;76275005100;81966595400;10000000;2
0;75684587500;78324325500;10000000;2
1;77556538500;77614427200;10000000;2
1;77787977100;83098754700;10000000;2
0;77235439600;79191159900;10000000;2
1;74858800200;80922579000;10000000;2
1;74440443000;81162933000;10000000;2
0;78452185100;78196421800;10000000;2
1;75619576000;78939877100;10000000;2
1;75619616900;80939456000;10000000;2
0;74973487500;78911951300;10000000;2
0;81222770500;77751098800;10000000;2
1;73676755200;79086488100;10000000;2
0;79133870600;81095935000;10000000;2
0;75611781100;78208832200;10000000;2
1;75826986500;81661234100;10000000;2
0;77504717000;81372372200;10000000;2
0;78018867700;77431780600;10000000;2
0;76676132000;78130875600;10000000;2
